405 19 22 1 0
406 54 11 1 0
407 55 21 1 0
408 53 26 0 1
409 74 14 1 0
410 84 10 0 -1
411 86 39 0 -1
412 10 2 0 -1
413 78 36 0 1
414 73 13 0 -1
415 91 22 1 0
416 94 31 1 0
417 35 26 0 1
418 0 5 -1 0
419 91 33 -1 0
420 39 16 0 -1
421 11 37 0 1
422 44 1 0 1
423 55 24 0 1
424 45 31 1 0
425 35 26 0 1
426 8 39 0 -1
427 77 12 -1 0
428 14 24 0 1
429 20 24 -1 0
430 58 17 0 1
431 8 0 1 0
432 15 36 0 -1
433 74 34 -1 0
434 23 1 0 -1
435 91 27 1 0
436 6 21 0 -1
437 71 9 1 0
438 0 27 0 1
439 46 4 1 0
440 96 29 -1 0
441 34 22 -1 0
442 71 26 0 -1
443 66 13 1 0
444 97 33 1 0
445 86 16 1 0
446 40 28 -1 0
447 61 13 1 0
448 1 6 0 -1
449 43 9 0 -1
450 14 17 0 -1
451 44 39 -1 0
452 35 39 1 0
453 79 30 1 0
454 62 8 0 1
455 52 38 -1 0
456 90 14 1 0
457 52 9 0 1
458 10 2 0 1
459 53 39 0 1
460 22 39 0 -1
461 34 30 1 0
462 77 7 1 0
463 53 7 0 -1
464 19 23 0 -1
465 14 30 0 -1
466 8 15 0 1
467 54 2 1 0
468 81 19 0 -1
469 73 38 1 0
470 69 9 0 1
471 1 5 0 1
472 62 28 -1 0
473 82 7 0 -1
474 51 3 0 1
475 94 3 0 1
476 60 21 -1 0
477 13 6 1 0
478 93 31 0 -1
479 73 14 0 1
480 57 6 -1 0
481 28 4 0 -1
482 66 34 0 1
483 75 36 0 -1
484 93 5 -1 0
485 83 28 -1 0
486 73 0 0 -1
487 46 21 -1 0
488 74 38 1 0
489 81 21 1 0
490 39 9 -1 0
491 88 4 1 0
492 68 18 0 1
493 50 39 1 0
494 72 29 -1 0
495 10 29 1 0
496 60 0 -1 0
497 53 8 1 0
498 31 17 1 0
499 78 4 1 0
500 68 7 0 -1
501 68 6 -1 0
502 51 11 1 0
503 73 3 1 0
504 8 6 0 1
505 39 25 0 -1
506 26 7 0 -1
507 19 25 0 1
508 37 17 -1 0
509 7 36 -1 0
510 58 7 1 0
511 14 0 0 -1
512 86 14 1 0
513 93 16 0 1
514 55 30 0 -1
515 75 15 0 -1
516 64 12 0 1
517 50 35 1 0
518 98 32 0 -1
519 47 1 -1 0
520 16 24 1 0
521 78 8 1 0
522 40 7 0 1
523 80 38 -1 0
524 24 35 0 1
525 33 29 0 1
526 92 11 1 0
527 10 0 0 -1
528 0 37 1 0
529 59 27 0 1
530 90 15 0 -1
531 60 33 -1 0
532 80 22 0 1
533 81 23 -1 0
534 0 13 0 -1
535 11 2 1 0
536 16 27 0 -1
537 6 7 0 1
538 55 18 0 -1
539 36 30 1 0
540 57 0 0 1
541 32 19 0 1
542 55 14 1 0
543 54 28 -1 0
544 46 11 0 1
545 51 7 -1 0
546 10 31 0 1
547 6 4 -1 0
548 16 5 0 1
549 0 30 -1 0
550 16 16 1 0
551 45 27 0 1
552 40 33 0 -1
553 96 30 0 1
554 36 29 -1 0
555 86 24 -1 0
556 69 7 0 -1
557 48 21 -1 0
558 0 14 0 1
559 80 8 0 -1
560 71 9 0 -1
561 28 18 -1 0
562 13 1 1 0
563 24 23 1 0
564 76 37 -1 0
565 48 28 0 1
566 22 23 1 0
567 25 18 0 1
568 51 14 0 1
569 77 8 1 0
570 26 20 -1 0
571 44 3 -1 0
572 4 26 -1 0
573 18 35 0 -1
574 4 0 -1 0
575 75 17 0 -1
576 95 39 0 -1
577 65 30 0 1
578 30 36 0 1
579 94 37 1 0
580 75 36 1 0
581 57 35 0 1
582 96 17 -1 0
583 72 9 0 -1
584 13 26 -1 0
585 35 39 -1 0
586 99 37 1 0
587 57 13 0 1
588 8 4 0 -1
589 49 25 0 1
590 59 36 1 0
591 90 10 0 1
592 28 20 0 1
593 18 1 1 0
594 25 9 1 0
595 3 31 0 1
596 60 24 -1 0
597 36 30 0 1
598 42 26 -1 0
599 67 2 0 -1
600 63 6 -1 0
601 69 22 0 1
602 2 8 1 0
603 99 24 -1 0
604 81 29 0 1
605 32 21 0 -1
606 88 5 -1 0
607 66 4 0 -1
608 13 9 1 0
609 36 9 0 1
610 72 28 0 1
611 56 10 1 0
612 61 25 -1 0
613 9 19 1 0
614 85 15 0 -1
615 58 22 1 0
616 15 21 0 -1
617 70 16 0 -1
618 55 35 0 -1
619 49 2 -1 0
620 72 39 -1 0
621 70 11 1 0
622 60 12 -1 0
623 35 23 0 -1
624 19 33 -1 0
625 15 26 0 -1
626 44 22 -1 0
627 47 26 -1 0
628 36 3 0 1
629 88 20 1 0
630 94 11 0 -1
631 7 12 1 0
632 14 19 0 1
633 84 2 -1 0
634 81 22 0 1
635 13 28 0 1
636 29 27 0 -1
637 21 24 -1 0
638 30 15 -1 0
639 32 20 0 -1
640 17 9 -1 0
641 67 32 1 0
642 47 31 0 1
643 10 29 -1 0
644 61 27 0 1
645 77 4 0 -1
646 93 33 0 1
647 45 35 -1 0
648 0 8 0 -1
649 3 28 -1 0
650 90 36 -1 0
651 53 33 0 -1
652 44 22 1 0
653 52 15 0 -1
654 39 36 -1 0
655 12 6 -1 0
656 33 35 0 -1
657 46 17 0 -1
658 74 30 -1 0
659 76 36 0 -1
660 92 15 1 0
661 50 31 0 1
662 92 10 -1 0
663 25 36 1 0
664 61 30 1 0
665 85 18 1 0
666 34 27 1 0
667 52 11 0 1
668 51 24 0 1
669 70 21 1 0
670 38 7 0 -1
671 75 7 0 1
672 28 16 0 -1
673 69 19 0 1
674 84 20 0 1
675 18 33 -1 0
676 99 13 -1 0
677 40 6 -1 0
678 33 1 1 0
679 4 23 1 0
680 89 10 0 1
681 92 34 0 -1
682 5 23 0 -1
683 95 15 0 -1
684 69 37 0 1
685 72 15 -1 0
686 34 21 0 1
687 34 39 0 1
688 77 3 -1 0
689 11 14 0 1
690 14 6 0 1
691 51 39 -1 0
692 42 5 0 -1
693 33 31 0 -1
694 28 17 -1 0
695 85 0 0 -1
696 51 10 1 0
697 14 5 0 1
698 59 4 0 -1
699 81 5 1 0
700 96 3 1 0
701 31 21 0 1
702 61 5 0 -1
703 81 29 0 -1
704 35 10 1 0
705 61 20 0 1
706 87 30 -1 0
707 20 36 0 -1
708 47 29 -1 0
709 66 20 0 1
710 60 1 1 0
711 4 15 -1 0
712 55 21 0 -1
713 99 19 0 1
714 60 3 0 1
715 64 22 0 1
716 96 12 1 0
717 11 23 -1 0
718 32 23 1 0
719 36 6 0 -1
720 14 8 1 0
721 82 4 0 -1
722 65 2 1 0
723 4 29 0 -1
724 92 29 -1 0
725 52 5 1 0
726 41 36 0 -1
727 41 13 0 -1
