0.203 0.165 0.148 0.182 0.157 0.212 0.178 0.165 0.212 0.144 0.178 0.191 0.169 0.186 0.216 0.140 0.237 0.225 0.237 0.267 0.267 0.246 0.297 0.381 0.483 0.500 0.504 0.555 0.462 0.288 0.347 0.199 0.030 0.047 0.034 0.305 0.331 0.453 0.640 0.555 0.462 0.517 0.559 0.436 0.331 0.394 0.347 0.250 0.229 0.203 0.220 0.157 0.131 0.153 0.136 0.127 0.102 0.110 0.110 0.131 0.123 0.072 0.119 0.136 0.144 0.119 0.157 0.102 0.110 0.068 0.081 0.076 0.140 0.110 0.131 0.153 0.148 0.186 0.140 0.123 0.106 0.119 0.136 0.106 0.127 0.195 0.148 0.114 0.136 0.165 0.182 0.212 0.208 0.131 0.174 0.169 0.186 0.157 0.220 0.186 
0.216 0.195 0.178 0.161 0.153 0.186 0.186 0.127 0.144 0.169 0.153 0.127 0.220 0.186 0.208 0.169 0.263 0.292 0.318 0.309 0.309 0.280 0.301 0.386 0.462 0.470 0.542 0.470 0.462 0.390 0.208 0.246 0.123 0.059 0.093 0.144 0.297 0.496 0.606 0.568 0.559 0.564 0.555 0.470 0.322 0.343 0.352 0.314 0.271 0.242 0.199 0.191 0.229 0.114 0.182 0.093 0.165 0.102 0.140 0.131 0.131 0.106 0.102 0.123 0.123 0.089 0.106 0.123 0.093 0.106 0.110 0.119 0.123 0.093 0.089 0.123 0.131 0.148 0.144 0.140 0.148 0.131 0.131 0.144 0.199 0.136 0.161 0.144 0.157 0.136 0.174 0.153 0.216 0.186 0.161 0.174 0.169 0.237 0.169 0.220 
0.199 0.182 0.157 0.153 0.182 0.153 0.174 0.157 0.208 0.203 0.182 0.186 0.157 0.220 0.208 0.195 0.208 0.216 0.280 0.280 0.326 0.292 0.347 0.335 0.360 0.360 0.415 0.386 0.424 0.369 0.258 0.203 0.055 0.013 0.076 0.343 0.237 0.483 0.504 0.547 0.441 0.513 0.559 0.475 0.326 0.394 0.314 0.292 0.216 0.191 0.195 0.203 0.182 0.174 0.157 0.119 0.093 0.123 0.127 0.097 0.089 0.106 0.144 0.127 0.123 0.106 0.089 0.131 0.085 0.144 0.093 0.144 0.114 0.097 0.119 0.085 0.102 0.153 0.089 0.106 0.144 0.191 0.089 0.136 0.148 0.140 0.191 0.195 0.153 0.182 0.203 0.199 0.182 0.229 0.212 0.123 0.203 0.165 0.165 0.157 
0.195 0.178 0.186 0.178 0.186 0.123 0.182 0.220 0.199 0.225 0.225 0.199 0.174 0.191 0.216 0.191 0.250 0.242 0.292 0.246 0.347 0.394 0.356 0.415 0.436 0.436 0.492 0.504 0.500 0.360 0.242 0.203 0.025 0.076 0.038 0.242 0.377 0.513 0.644 0.576 0.530 0.492 0.470 0.419 0.424 0.356 0.250 0.309 0.246 0.191 0.208 0.186 0.186 0.186 0.136 0.131 0.140 0.165 0.148 0.157 0.127 0.110 0.102 0.153 0.085 0.097 0.106 0.110 0.165 0.131 0.059 0.072 0.102 0.123 0.136 0.089 0.110 0.140 0.127 0.131 0.127 0.136 0.110 0.123 0.153 0.186 0.203 0.144 0.157 0.195 0.178 0.144 0.174 0.225 0.212 0.153 0.127 0.174 0.199 0.165 
0.182 0.148 0.153 0.131 0.178 0.157 0.250 0.161 0.161 0.140 0.191 0.212 0.199 0.144 0.178 0.123 0.203 0.250 0.229 0.246 0.212 0.326 0.322 0.331 0.356 0.394 0.466 0.568 0.500 0.403 0.343 0.186 0.038 0.042 0.059 0.309 0.424 0.530 0.725 0.559 0.619 0.525 0.479 0.449 0.411 0.326 0.309 0.305 0.280 0.220 0.220 0.191 0.225 0.165 0.153 0.127 0.178 0.114 0.127 0.123 0.161 0.131 0.123 0.127 0.127 0.089 0.123 0.089 0.131 0.110 0.157 0.097 0.140 0.110 0.097 0.136 0.110 0.140 0.123 0.102 0.140 0.144 0.161 0.191 0.140 0.242 0.203 0.169 0.157 0.191 0.165 0.191 0.169 0.157 0.161 0.161 0.165 0.157 0.191 0.186 
0.195 0.169 0.203 0.220 0.237 0.186 0.195 0.208 0.191 0.136 0.191 0.169 0.191 0.161 0.174 0.186 0.242 0.237 0.242 0.263 0.280 0.335 0.314 0.369 0.360 0.411 0.559 0.517 0.521 0.432 0.347 0.242 0.025 0.017 0.055 0.242 0.373 0.551 0.525 0.483 0.547 0.449 0.492 0.513 0.419 0.398 0.335 0.220 0.199 0.254 0.182 0.165 0.191 0.174 0.157 0.144 0.161 0.169 0.153 0.123 0.131 0.102 0.148 0.148 0.127 0.114 0.157 0.110 0.085 0.059 0.140 0.081 0.119 0.123 0.119 0.114 0.131 0.119 0.148 0.123 0.153 0.161 0.161 0.165 0.186 0.148 0.203 0.208 0.123 0.237 0.203 0.165 0.186 0.144 0.174 0.153 0.174 0.182 0.191 0.174 
0.203 0.195 0.233 0.203 0.199 0.182 0.157 0.182 0.203 0.169 0.195 0.174 0.182 0.169 0.212 0.199 0.267 0.216 0.263 0.288 0.237 0.314 0.369 0.343 0.436 0.432 0.441 0.581 0.504 0.419 0.326 0.275 0.038 0.051 0.085 0.432 0.246 0.576 0.614 0.407 0.479 0.449 0.419 0.432 0.449 0.335 0.263 0.237 0.280 0.203 0.191 0.174 0.242 0.174 0.102 0.123 0.153 0.144 0.153 0.131 0.123 0.089 0.089 0.123 0.165 0.110 0.114 0.081 0.144 0.064 0.106 0.102 0.114 0.106 0.140 0.127 0.114 0.144 0.127 0.114 0.186 0.114 0.182 0.148 0.153 0.127 0.165 0.191 0.203 0.212 0.195 0.195 0.157 0.199 0.203 0.220 0.178 0.208 0.199 0.208 
0.186 0.165 0.208 0.148 0.242 0.148 0.144 0.157 0.178 0.186 0.178 0.161 0.203 0.153 0.225 0.237 0.258 0.301 0.258 0.271 0.280 0.339 0.347 0.415 0.534 0.555 0.581 0.492 0.445 0.386 0.309 0.229 0.038 0.017 0.042 0.360 0.322 0.559 0.597 0.458 0.487 0.449 0.436 0.369 0.377 0.364 0.335 0.242 0.284 0.258 0.182 0.182 0.169 0.178 0.157 0.123 0.110 0.153 0.148 0.123 0.110 0.089 0.114 0.127 0.169 0.097 0.110 0.076 0.119 0.097 0.106 0.093 0.106 0.119 0.110 0.123 0.072 0.114 0.140 0.119 0.114 0.127 0.123 0.153 0.153 0.182 0.174 0.182 0.203 0.225 0.229 0.250 0.225 0.203 0.220 0.161 0.225 0.233 0.195 0.191 
0.212 0.157 0.186 0.208 0.216 0.203 0.165 0.203 0.220 0.161 0.186 0.157 0.199 0.161 0.220 0.191 0.246 0.233 0.254 0.254 0.280 0.360 0.343 0.432 0.559 0.585 0.462 0.555 0.428 0.364 0.250 0.237 0.042 0.038 0.059 0.314 0.364 0.487 0.462 0.504 0.525 0.564 0.462 0.373 0.356 0.297 0.314 0.263 0.258 0.186 0.225 0.157 0.165 0.191 0.131 0.165 0.136 0.148 0.114 0.085 0.089 0.131 0.144 0.097 0.085 0.106 0.127 0.106 0.106 0.076 0.068 0.110 0.114 0.123 0.106 0.106 0.127 0.114 0.110 0.144 0.148 0.131 0.136 0.119 0.140 0.225 0.182 0.174 0.174 0.220 0.246 0.191 0.195 0.225 0.220 0.229 0.216 0.258 0.182 0.212 
0.216 0.174 0.271 0.191 0.186 0.140 0.199 0.144 0.191 0.203 0.161 0.161 0.182 0.216 0.161 0.258 0.216 0.229 0.326 0.292 0.250 0.436 0.364 0.466 0.496 0.606 0.436 0.458 0.475 0.415 0.318 0.242 0.068 0.055 0.042 0.271 0.381 0.508 0.381 0.530 0.458 0.504 0.381 0.436 0.364 0.309 0.250 0.263 0.267 0.250 0.195 0.208 0.169 0.169 0.153 0.127 0.195 0.140 0.165 0.136 0.106 0.157 0.127 0.102 0.093 0.106 0.119 0.085 0.174 0.140 0.106 0.123 0.140 0.106 0.110 0.161 0.119 0.153 0.123 0.119 0.178 0.153 0.178 0.212 0.161 0.165 0.169 0.153 0.212 0.178 0.191 0.148 0.157 0.182 0.220 0.216 0.191 0.131 0.216 0.191 
